feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Genus.Enhydrobacter	responder	Resp	-0.106018180035056	0.0218845237521867	12	12	0.000676985980560797	0.119247738407855
Genus.Salipaludibacillus	responder	Resp	-0.0359594965414621	0.00798800810859754	12	12	0.00114013259488596	0.119247738407855
Genus.Lachnospiraceae_NK4A136_group	responder	Resp	-0.0281890608585891	0.00600140047724656	12	12	0.0008453021329059	0.119247738407855
Genus.Collinsella	responder	Resp	-0.0234112810667307	0.00542033677766992	12	8	0.00151512567799564	0.119247738407855
Genus.Legionella	responder	Resp	-0.0202981274541346	0.00472388911585604	12	5	0.00156904918957705	0.119247738407855
Genus.Alloprevotella	responder	Resp	-0.0345531987358	0.00923948252061356	12	9	0.00384823234253487	0.243721381693875
